t,y,s^e,in^T,in^e,in,k,gr_k,u,rr_l,π,i,s,S,IN,I,K,Y,ω^T,ER,z_3,z_4,z_5,W,pr,N^T,N,WB,UC,NUC,NHUC,p,φ,φ^T,HC^e,σ_se,F^T_f,FU^T_f,FD_f,F_f,FU_f,L_fd,V_f,NPL,e_s,r_K,PE,q,YP,T,YD_r,YD_hs,CG,V,v,C,c,yd^e_r,yd_r,GL,η,NL,REP,L_hd,nl,BUR,B_hd,BL_d,p_e,M_d,V_fma,H_hd,e_d,G,g,PSBR,B_s,GD,F_cb,BL_s,B_hs,H_hs,H_bs,H_s,B_cbd,B_cbs,r_b,r_bL,p_bL,M_s,L_fs,L_hs,H_bd,B_bs,B_bd,BLR,r_m,z_2a,z_2b,z_1a,z_1b,r_l,OF^T_b,OF^e_b,FU^T_b,npl^e,FD_b,F^T_b,F_b,add_l,FU_b,OF_b,CAR,L_s
26,26982995.88547299,26741280.564748235,5348256.112949648,3978535.962176047,3845438.79427224,39721583.96737335,0.03046851112981978,0.7000004737667094,0.057752535825106206,0.0044370769896641465,5286293.3958371505,26738195.37635527,209926738.61005276,23535127.83008339,41503710.93876213,311861831.2615393,210591511.14888614,250677.02112919488,1.00522971006768,1.0,-1.797153642300616e-179,5.5402902858217865e-180,1884793.313674802,308001.712223351,87.60664247845835,87.6187580284392,165143249.2841515,6.120271076849901,6.119424791729263,6.1861930426332785,7.8511932333191945,0.269147790767477,0.26949695342014884,164990232.45470288,0.13973977919259378,44464364.99053474,36893183.2614897,6390377.92771857,43360646.03198809,35841537.264847845,43294245.66555477,69144145.47597852,833472.93640852,7547.298134914758,0.029654373815269603,5.067970271877786,0.5887608826118725,181126333.87317136,41376499.70998726,136526295.23040864,141238563.03602296,4712267.805614324,405545583.9772589,51654006.20328565,127680936.43415102,16262615.457265291,17173421.481241662,17167710.751605246,6970894.151772112,0.05105898566995753,1811340.3994048813,5159553.75236723,53406877.92307717,230708.93118773837,0.06350138514522018,83326546.92286903,2173096.06335688,29541.507962774573,93686753.76828714,386075828.233748,6384046.821707552,7547.298134914758,40742091.23713965,5189286.52325283,4473751.244142016,99781932.84513934,139292770.360719,374510.595611135,2173096.06335688,83326546.92286903,6384046.821707552,4684337.688414357,11068384.510121908,11068384.510121908,11068384.510121908,0.035,0.055,18.181818181818183,93686753.76828714,43294245.66555477,53406877.92307717,4684337.688414357,5387001.412148418,5387001.413044225,0.05750013952646385,0.0172000012529982,2.12842376553392e-200,1.4586467695392505e-23,1.073193626326032e-182,-1.0357821456508524e-183,0.06244586526257165,9326918.43440983,11307936.215595061,-487205.5843816194,0.02,3115120.1805092394,2627914.596127612,4405687.302335946,0.04524586400957345,1290567.1218267062,13085708.921803387,0.13532116728538898,96701123.58863194
27,27786375.27571774,27537078.732872404,5507415.746574481,4094735.3371175723,3957130.1655834233,40931412.85949173,0.030457720243789066,0.6995283797982721,0.05762303444546434,0.004532894586280714,5446930.253918123,27533816.228098813,217153202.491662,24323673.110833913,42958750.74449211,322817124.63380253,217839746.6006972,258197.33176307112,1.00502125495738,1.0,-8.18219884197298e-197,1.546565342915777e-198,1949741.1167071385,317241.763590052,87.58738118622317,87.5999319231096,170797189.09085384,6.146796312817692,6.145915640623106,6.212866997118537,7.886781864622321,0.269427120889614,0.26977252322872436,170632484.26887012,0.13964585102031798,46031955.825902104,38183414.0636612,6614666.55217978,44886342.979393356,37091872.14978198,44974943.471774235,71467444.1139843,865884.913311095,7657.507820670944,0.029667693926266316,5.065641310766644,0.588342639454678,187334843.25147277,42794771.59236644,141205032.95622724,146098290.42499664,4893257.468769412,419603996.6222874,53203448.98903434,132039877.77996825,16741920.85523028,17676833.965204738,17670925.85625608,7217100.25290327,0.051110786221814274,1876412.46059555,5340687.79230772,55283290.38367275,237918.64575526063,0.06354619438361828,86198532.30629598,2247815.3122354443,30127.087762946347,96959560.28152373,399442581.67639655,6601993.8889984125,7657.507820670944,42154573.96720165,5344965.11895041,4637872.629917698,103061273.67726491,143930642.99063665,387393.457854267,2247815.3122354443,86198532.30629598,6601993.8889984125,4847978.014076187,11449971.903074602,11449971.903074602,11449971.903074602,0.035,0.055,18.18181818181818,96959560.28152373,44974943.471774235,55283290.38367275,4847978.014076187,5412769.467894353,5412769.468893055,0.055825020798667926,0.0172000012529982,5.699068517689931e-218,1.6498471366050538e-41,-2.606164027022482e-200,-6.779815694789515e-202,0.0624171281726249,9670112.3588632,11719470.29662731,-500353.71186499455,0.02,3222050.12057796,2721696.408712975,4561647.168978152,0.045217126919626704,1339597.048400192,13559421.056892497,0.1352449622887153,100258233.855447
28,28613523.97543799,28356401.456578158,5671280.291315632,4214252.684443254,4071991.117615571,42177640.96053479,0.030446740387904705,0.6990602565726649,0.057496786020088925,0.004627351425135309,5612381.910765086,28352972.198214512,224648446.14656308,25140576.984460734,44468455.25120763,334185123.08604836,225357600.59271857,265943.25171596365,1.00480531220231,1.0,2.2119331844071873e-214,-4.320129449168175e-216,2017121.1885826283,326759.016497754,87.56766464215195,87.58057155453497,176660626.5904087,6.174025497264175,6.173115619584741,6.2402577712906835,7.923276775923291,0.269703442760902,0.270044653418938,176483609.9963547,0.1395498004792853,47658455.295485504,39522050.6849327,6847411.62150646,46469606.73396643,38389346.25963832,46717854.53426444,73882096.30860715,899498.869435485,7769.355599717408,0.02968122587751272,5.0632890120440495,0.5879313845041328,193773454.836194,44265608.02278016,146057222.5917317,151138843.8782683,5081621.286536586,434182976.7401806,54798410.93767095,136559863.7603757,17235276.21493051,18194969.148087896,18188884.664232034,7472475.277821218,0.05116128559196444,1944146.239453938,5528329.03836728,57227436.62312674,245371.49142184833,0.06358805399544681,89176161.63420495,2325268.446576835,30726.58294031991,100352497.85963021,413304580.21792483,6827993.188018785,7769.355599717408,43620127.13497976,5505314.07251892,4808729.986531719,106461764.85758956,148739372.97716838,400749.016607611,2325268.446576835,89176161.63420495,6827993.188018785,5017624.892981512,11845618.081000296,11845618.081000296,11845618.081000296,0.035,0.055,18.18181818181818,100352497.85963021,46717854.53426444,57227436.62312674,5017624.892981512,5439985.142384311,5439985.143494511,0.05420876669755646,0.0172000012529982,2.1505470972406456e-235,-4.244496015293235e-59,-5.40319303783222e-219,8.029537112407413e-220,0.062390195279951814,10025823.3855447,12145981.98835338,-513940.19910363527,0.02,3332948.1229906706,2819007.923887063,4723429.269770644,0.04519019402695361,1390481.1467799733,14050403.334236989,0.13517113837301928,103945291.15739118
29,29465179.01846084,29199978.336022504,5839995.667204501,4337191.800053905,4190119.708950127,43461345.22796478,0.030435658282338088,0.6985971322111441,0.057373545462951106,0.004720518384832934,5782793.228690282,29196395.307884008,232423123.69280133,25986956.703328487,46034959.16906904,345981807.38604677,233155752.5435854,273921.5492674428,1.00458324123989,1.0,8.50205648562615e-232,-8.682216974465004e-234,2087028.5558312528,336561.786992687,87.54760688010273,87.56079274987565,182741874.83974668,6.201960447136872,6.201026487526914,6.268367411283351,7.960678749612125,0.269976411287331,0.27031289108831835,182551885.33463776,0.13945185406470126,49346127.89831955,40910978.831111,7088938.50726658,48112724.34554349,39735869.999684,48525111.192777246,76391452.27059941,934357.090685289,7882.866475304181,0.02969490526348426,5.060921565349537,0.5875286541578449,200451281.82878298,45791090.82096719,151089760.06152788,156367615.3435168,5277855.281988921,449303245.4094481,56440318.66391902,141247346.6742497,17743128.584499236,18728298.451092478,18722045.69802596,7737394.519052267,0.051210581814819564,2014650.856739598,5722743.66231267,59242087.479866296,253075.26155858175,0.06362694321921676,92263523.50101508,2405558.8005695445,31340.401540466002,103870525.05298981,427681594.43776524,7062367.333712486,7882.866475304181,45140817.84948256,5670473.49469449,4986560.612272834,109988500.85181366,153725933.58944175,414596.63283501,2405558.8005695445,92263523.50101508,7062367.333712486,5193526.252649491,12255893.586361978,12255893.586361978,12255893.586361978,0.035,0.055,18.181818181818183,103870525.05298981,48525111.192777246,59242087.479866296,5193526.252649491,5469083.764436599,5469083.765667084,0.05265289420091396,0.0172000012529982,2.2903920702763632e-253,-1.660513629724653e-76,-1.5151911483677873e-236,-1.6491454178251949e-237,0.062364896723941576,10394529.1157391,12588053.64683783,-527992.5967138814,0.02,3447971.2890685895,2919978.692354719,4891208.683487187,0.04516489547094338,1443237.3944185972,14559283.63797031,0.13509939775107796,107767198.67264356
30,30342097.981626566,30068559.16307678,6013711.832615356,4463658.527499913,4311622.752925881,44783634.890218295,0.030424499180082467,0.6981398717061158,0.05725357430474733,0.0048121920022896275,5958311.357720498,30064831.15903296,240488195.52923295,26864008.48308303,47660455.475060225,358223716.1760278,241245232.72603562,282139.1957454664,1.00435637065273,1.0,-1.8676164450006093e-249,-1.0810369732073032e-251,2159561.8144721184,346658.640602468,87.52730908116759,87.54070254865086,189049558.43561268,6.230602727295745,6.2296494635723745,6.297197246660737,7.998987064223772,0.270245595128121,0.27057694440087177,188845906.01315928,0.13935219463680157,51097348.211538866,42352162.4355435,7339596.09891266,49817964.22264763,41133303.71761337,50398964.99274611,78999164.59180704,970502.223855545,7998.065728249791,0.029708685372231754,5.0585527183949015,0.5871352699186311,207377792.83260828,47373382.99468103,156309783.17053467,161791805.3630109,5482022.192476242,464986096.1743657,58130622.345145136,146108954.59809333,18265932.10177714,19277301.65115308,19270896.23333942,8012216.005845208,0.05125857027810107,2088007.2578585777,5924208.74798663,61330094.73772488,261033.958562014,0.06366305308488251,95465029.81083766,2488801.3594345064,31968.928958829143,107518476.37346847,442593940.329039,7305447.729904667,7998.065728249791,46718785.456079364,5840587.69953532,5171602.516258684,113646602.29780057,158897536.1057007,428956.275522669,2488801.3594345064,95465029.81083766,7305447.729904667,5375923.8186734235,12681371.548578091,12681371.548578091,12681371.548578091,0.035,0.05500000000000001,18.181818181818183,107518476.37346847,50398964.99274611,61330094.73772488,5375923.8186734235,5500200.938384828,5500200.939746098,0.051155867585334795,0.0172000012529982,-7.472432031963014e-273,-5.293904606007864e-94,-4.501070277338035e-254,-6.511540016222781e-255,0.062341281499405744,10776719.8672644,13046258.12968794,-542523.2844268142,0.02,3567283.01391686,3024759.7294899845,5065209.715224143,0.04514128024640754,1497926.7013072835,15086708.115422038,0.13502940194648888,111729059.73047099
31,31240387.1939018,30958379.22994241,6191675.845988483,4593630.716885272,4441016.952960119,46142087.3776732,0.03033368083642569,0.6975848939123388,0.057933127488801105,0.004902315826276715,6135522.821194497,30949982.36608082,248782167.60192692,27802221.632336494,49318563.37665282,370899355.6027177,249592217.70205495,290603.3716178304,1.00412592822577,1.0,5.369712378444618e-268,1.5903010513535903e-269,2234823.1412781957,357058.399820542,87.49377471472917,87.5125458482978,195575062.6138931,6.260327741774606,6.258984923478909,6.326747807902663,8.038200625102869,0.270510674546322,0.27086192232751793,195356174.00007242,0.13927159173614578,52914548.828065485,43847619.0370554,7599730.4421649,51532369.272987545,42528278.203255296,52368435.428279616,81680751.2739221,1007979.29985492,8114.977891161801,0.029722486126006257,5.061664304862953,0.586721313993471,214545240.44792426,49010714.72792382,161711129.01957074,167407739.82697743,5696610.807406717,481286481.9443575,59874902.9031898,151107354.056986,18798654.214364946,19841632.80142032,19834242.482501037,8245124.746556916,0.05098674900447956,2112115.2727844263,6133009.47377249,63442210.01050932,262759.7109472218,0.06369662840194541,98787464.95092699,2575238.0729291793,32612.829521210086,111277598.44889478,458097754.3390591,7555367.702849301,8114.977891161801,48356250.16828811,6015805.33052138,5368119.876021582,117443145.56482859,164265655.98172274,443848.004200233,2575238.0729291793,98787464.95092699,7555367.702849301,5563879.922444738,13119247.625294039,13119247.625294039,13119247.625294039,0.035,0.055,18.18181818181818,111277598.44889478,52368435.428279616,63442210.01050932,5563879.922444738,5536432.988607565,5536432.990110221,0.049753347190462406,0.01800000127353705,8.127666088446847e-291,-3.8102639639198147e-112,0.9999999997419967,3.911128165962463e-273,0.06311944980283196,11172905.9730471,13521187.25847206,-557541.5570950166,0.02,3691052.0607083393,3133510.503613283,5245683.147590381,0.045119448529294906,1554631.0868820415,15633359.90244912,0.13499069833540572,115810645.43878894
32,32158759.256553154,31868846.407278813,6373769.281455763,4730929.802234464,4574079.620282235,47537191.25236725,0.030234953682851742,0.696950681778514,0.05864291012765187,0.005006862994182535,6317080.33527045,31859210.977494426,257372940.79148203,28775747.13399475,51032197.38410933,384026670.28525597,258210044.20420548,299321.4727663651,1.00380295991441,1.0,-1.6090165051720997e-284,3.493652308132904e-286,2312918.4958368368,367770.151815158,87.44254828172052,87.47054730835141,202312246.70318994,6.2910464015790435,6.289032659183478,6.357018988592711,8.078446794352532,0.2707916727712791,0.2710692510781485,202106830.34558496,0.13935292467614335,54784947.13765352,45373078.3065206,7861262.93259425,53305834.15556265,43960074.661055095,54447705.37161554,85212064.05113012,1047368.70856559,8233.914969719506,0.029704107024185376,5.05005065903381,0.5845748019549586,222028066.82663348,50720091.58587615,167303537.85061827,172416753.72935426,5113215.878735982,497418806.45278215,61573569.66192588,156284429.22092903,19345851.151786957,20420421.12502166,20411572.493067313,8482763.83286798,0.05070283594893923,2138542.831817052,6344221.00105093,65580752.84232635,264722.02962208184,0.06399471980643691,101411933.97441006,2619467.215060349,33172.87693642897,116802275.83700465,473402781.6030542,7814221.461046452,8233.914969719506,50056314.18644372,6196279.49043702,5562797.1013804525,122201776.44564275,169828453.0831037,459173.666885291,2619467.215060349,101411933.97441006,7814221.461046452,5840113.791850233,13654335.252896685,13654335.252896685,13654335.252896685,0.035,0.05500000000000001,18.181818181818176,116802275.83700465,54447705.37161554,65580752.84232635,5840113.791850233,7135507.218336012,7135507.219894075,0.06109048113255179,0.018000001277296583,1.520767471663572e-307,-4.307330449859697e-129,4.6994920276774295e-09,-1.1763630285473766e-289,0.06394339013841117,11581064.5438789,14012441.75902103,-573549.4348624769,0.02,3818760.93084144,3245211.495978924,5434573.125639457,0.0459433888611146,1615812.1947980174,16201803.388681527,0.13498301678150765,120028458.21394187
33,33102907.87500768,32804873.60975729,6560974.721951458,4872113.8855326185,4709985.329809828,48974484.32783468,0.030235128277500016,0.6963580935876011,0.05832405811425678,0.00505698556273019,6508085.266357479,32794759.912695378,266270473.93011394,29777582.375569098,52841092.688737325,397638500.393902,267129700.27067292,308301.1169493562,1.0033212203158,1.0,7.990483550998925e-304,-6.333924159905397e-304,2393975.9151079557,378803.256369613,87.38812911037235,87.421096389564,209283999.22827205,6.32222401787265,6.319839850510284,6.388050071306641,8.119299383160884,0.271013735416775,0.27127568823543646,209097169.76260123,0.13943292922521444,56722978.63501686,46949621.5933806,8131805.00043108,55146456.876328595,45442731.2520267,56674537.91006915,88524899.46836843,1088954.10743231,8354.77604210319,0.029771275412707812,5.043552847384702,0.5829830889827491,229637743.9234494,52458446.22187278,172985842.03700903,178690392.61032635,5704550.57331733,514498549.5137044,63367357.85115116,161610649.54940385,19904506.77118777,21009811.573934346,20995703.480009295,8792935.523951339,0.05083037675429729,2234860.2397186994,6558075.28423264,67815613.0820451,275252.8431649996,0.0642636198070124,104824981.54518212,2708351.8526442046,33779.079650816886,121034309.86758079,489503084.67891866,8080532.477470193,8354.77604210319,51818731.69197278,6382167.87515013,5778913.126906463,126364605.25284299,175607366.21001035,477901.733851384,2708351.8526442046,104824981.54518212,8080532.477470193,6051715.493379041,14132247.970849233,14132247.970849233,14132247.970849233,0.035,0.05500000000000001,18.18181818181818,121034309.86758079,56674537.91006915,67815613.0820451,6051715.493379041,7407375.736811644,7407375.7394031,0.06120062772505921,0.0180000012772966,5e-324,-5.657028390117564e-147,6.0027285367490036e-27,3.829753193531274e-307,0.06367598759682432,12002845.8213942,14522220.3617666,-590628.9194825907,0.02,3950613.67632434,3359984.7568417084,5752696.752390761,0.04567598631952771,1802083.0760664206,16914932.35731561,0.13587365926170264,124490150.99211425
34,34078274.77636807,33771623.8600384,6754324.7720076805,5016636.246139502,4845212.438799255,50456507.29820811,0.030261124557284944,0.6958373374234733,0.05776780122095162,0.005126250838146442,6706131.21362351,33764645.0100006,275550598.7784347,30784314.547951765,54728206.70421788,411771567.3948078,276409771.39659053,317550.1504578366,1.00275399903149,1.0,-2.777e-321,-9.24e-322,2478059.444447256,390167.354060701,87.34271184338823,87.37406566185854,216518128.61244202,6.353553107776704,6.35127316177634,6.419738344456062,8.160920948428952,0.271223297671704,0.271539996072808,216318363.13983896,0.13946576419653786,58739087.47712939,48613805.2736383,8412591.99648393,57136354.199982494,47083248.13995175,58958719.30091208,91556754.25004773,1133490.75820138,8477.487749960528,0.029808985876188823,5.037302869753189,0.582316861100038,237573648.962006,54271324.368880644,178984098.45564198,185295496.4546433,6311397.999001308,532618552.42813313,65264515.585134685,167175493.54021424,20484880.884972464,21617122.424813762,21608670.265217926,9137653.613002803,0.051052879511619347,2356092.304798294,6781561.30820451,70171705.38684338,288704.21851796284,0.06416587227591224,108326364.72162372,2796959.415220931,34448.933104390584,125581047.70439167,506629922.9804433,8358774.677010712,8477.487749960528,53646898.53400259,6573632.91140463,6012058.5226359265,130765617.18317473,181619424.7326462,494628.678979723,2796959.415220931,108326364.72162372,8358774.677010712,6279052.385219584,14637827.062230296,14637827.062230296,14637827.062230296,0.035,0.05500000000000001,18.181818181818183,125581047.70439167,58958719.30091208,70171705.38684338,6279052.385219584,7801425.399320723,7801425.402095765,0.062122633514932614,0.0180000012772966,2.006263768094511e-22,-5.296627151730328e-165,3.017322886208847e-45,5e-324,0.06319018429851328,12449015.0992114,15128565.45407396,-652876.1450402546,0.02,4087084.4141413006,3434208.269101043,5935497.585706243,0.045190183021216676,1848413.171564943,17629854.770679165,0.1365275055304786,129130424.68775547
35,35091087.073341735,34774630.03802098,6954926.007604198,5161669.474119999,4979943.026814099,51984602.33268415,0.03028539065228386,0.6954719807684352,0.057264762188898415,0.005233740357026512,6910290.667975954,34771675.71574137,285254069.4876821,31796603.805837348,56689489.18363095,426462603.8541123,286114315.2981974,327076.65497157164,1.0022145382808,1.0,6.876485279007547e-18,-6.8764947870364134e-18,2565280.993844885,401872.374682522,87.3189830505842,87.34101609509392,224054248.57108372,6.38493324824964,6.3833225557520805,6.452051674328354,8.203633089747253,0.271476656392587,0.2718459794835079,223826914.5848156,0.13933181844030676,60846446.829928294,50349950.1678805,8716150.83320733,59254555.406809926,48832570.9915347,61258207.570515,94609030.04248123,1179174.38601824,8602.034421708635,0.029845701426075764,5.029380635258824,0.5820632016985278,245848310.10621995,56161587.96066488,185252559.14961946,191915474.33781236,6662915.188192894,551514949.107946,67228134.54405154,173019077.6580003,21090543.14901865,22249450.84872501,22241971.32427562,9494952.288760038,0.05125409512444064,2477781.750075697,7017170.53868434,72649487.1369191,302034.6867016948,0.06397961401838136,112081974.05118573,2892920.5136728655,35153.5410371859,130121518.62969875,524544530.3849709,8650953.882900015,8602.034421708635,55545502.64605089,6770841.89874677,6245346.754839998,135266216.69343436,187864771.48748642,512323.94717806,2892920.5136728655,112081974.05118573,8650953.882900015,6506075.931484938,15157029.814384952,15157029.814384952,15157029.814384952,0.035,0.055,18.18181818181818,130121518.62969875,61258207.570515,72649487.1369191,6506075.931484938,8027212.827863663,8027212.830854869,0.06169012563250695,0.0180000012772966,5.855124463022315e-40,-2.40572683224982e-182,6.137356443686321e-63,1.0836868361237208e-22,0.06279821144281572,12913042.4687755,15743129.8499177,-707550.5347432574,0.02,4229069.50236783,3521518.967624641,6097853.957782031,0.04479821016551912,1868784.4554142016,18319464.84007516,0.13680666282949228,133907694.70743409
36,36139325.08143868,35811957.80141826,7162391.560283652,5307310.306834528,5119255.79062352,53559629.23270181,0.030297950341871712,0.6951928736543768,0.05695648696550083,0.005353128873652779,7120224.430845113,35809089.615622915,295337192.42073077,32850617.609518893,58724394.15202125,441735623.3985572,296231172.0374423,336888.95462071913,1.00183544688744,1.0,-1.5777540763419046e-35,1.9551019532932285e-35,2655807.830769588,413928.545922998,87.30812464484674,87.32128122494565,231908542.46916574,6.417068994713276,6.416102143540742,6.485083371860335,8.247548194908823,0.271772114865324,0.2721572827873155,231644539.70620224,0.13905810607769786,63043748.498908035,52154330.0489405,9039282.42730885,61431881.10260261,50619400.7700675,63602878.666215934,97765496.71960874,1225164.1514103,8728.415311096638,0.029892600739064856,5.024796586906274,0.5819847599521404,254483351.02753973,58134176.70873118,191786916.46437222,198745930.2856554,6959013.821283191,571166211.3513653,69252849.19262604,179094668.04223594,21714898.029068634,22902537.778414316,22895845.09282483,9853514.121964805,0.05137740521379968,2588565.408272895,7264948.71369191,75238052.545192,313858.7792514645,0.0638436878951617,116008964.37963095,2993220.508692234,35884.849019947884,134812767.20466253,543223735.7284845,8954733.402111797,8728.415311096638,57518130.22647356,6973967.15570917,6480695.572181969,139923275.9925366,194345467.05966812,530496.043503473,2993220.508692234,116008964.37963095,8954733.402111797,6740638.360233128,15695371.762344923,15695371.762344923,15695371.762344923,0.035,0.055,18.18181818181818,134812767.20466253,63602878.666215934,75238052.545192,6740638.360233128,8218939.850560756,8218939.853790546,0.06096558972276913,0.0180000012772966,-5.959532749275912e-58,-8.725810515509649e-200,-1.0307417273924712e-80,5.41572443101898e-40,0.06261451125406119,13390769.4707434,16347986.69234246,-746313.9963224396,0.02,4377549.024062419,3631235.0277400594,6270990.556166608,0.04461450997676459,1893441.532104188,18987742.220769085,0.1367589662151238,138840931.21140793
37,37218262.67827638,36879758.297931954,7375951.659586391,5457760.170967949,5264160.199228191,55182382.48061918,0.03029806724140968,0.6948939567257502,0.0568157644130912,0.005464054549600856,7335958.898169673,36876154.291772306,305799685.620703,33956286.8861004,60834269.94688127,457606156.02348584,306734386.594981,346995.6232593407,1.00160908024622,1.0,-1.5695330589412982e-53,3.6040045692272694e-53,2749812.3171224515,426346.402300688,87.29582911338905,87.30600995801173,240075141.5403512,6.450466095541667,6.449713899972695,6.5189387645491035,8.292613248146242,0.272080249202917,0.27243336017930425,239777587.572905,0.13880936391317406,65323413.87808401,54026442.6198596,9371433.46220203,63667619.71433768,52450297.719353996,66016842.78808893,100996939.3877678,1272057.57332432,8856.617847168991,0.029919856083524335,5.023757926570668,0.5820672845259977,263459076.17858526,60184591.362236015,198563490.92852467,205866780.70194584,7303289.773421167,591634961.1799414,71344815.37671326,185398030.87336934,22357009.223222185,23575498.81365919,23568277.18170878,10212853.878681695,0.05143369423476352,2689048.6241624947,7523805.2545192,77927101.1693545,324270.35286629474,0.06379371110341936,120092888.85260691,3097214.452239886,36644.76285801454,139679432.76367077,562706871.2213778,9269901.543668468,8856.617847168991,59567384.80045236,7183186.17038045,6723990.594965285,144756467.61390856,201069457.65463376,549338.011682072,3097214.452239886,120092888.85260691,9269901.543668468,6983971.638183539,16253873.181852007,16253873.181852007,16253873.181852007,0.035,0.05500000000000001,18.18181818181818,139679432.76367077,66016842.78808893,77927101.1693545,6983971.638183539,8409705.579449648,8409705.582938874,0.060207185966177926,0.0180000012772966,-8.609330430835817e-76,-2.2729102816447923e-217,1.2073789758536198e-98,-2.0679515794488678e-57,0.06259026339871802,13884093.1211408,16946282.58091782,-769402.066526958,0.02,4532336.932172869,3762934.865645941,6474840.699623161,0.044590262121421434,1942503.7674502912,19658188.414895073,0.13656836039426085,143943943.95744342
38,38327902.6737544,37978181.26566857,7595636.253133714,5613881.607314018,5414539.478592233,56853735.24422968,0.030287796366847412,0.6945677397530922,0.0567690146944008,0.005550150418104102,7557657.502818181,37973923.61081174,316650821.38050324,35113082.661072254,63020573.815569945,474082745.52180135,317626025.2893206,357405.49195712124,1.00143391287106,1.0,-4.582532362132862e-71,1.998946964795213e-71,2847447.2792958245,439136.794369709,87.28009851427872,87.29046309177194,248554991.6380123,6.484961980689726,6.484191977997167,6.553664493699769,8.3386384990326,0.272362737984027,0.27267648353116264,248230802.67416912,0.13861011833048018,67686702.37716779,55967528.3511308,9712495.38742221,65970497.80224746,54333964.00778762,68516375.14417845,104379943.96423139,1320336.85576178,8986.667965032879,0.029926160734939967,5.023954320863001,0.5821229102276182,272775218.670577,62312770.953106605,205584969.9293819,213162662.56629723,7577692.636915317,612862308.709798,73496687.59239347,191935315.0364403,23017584.3525017,24268018.73690596,24260711.976651922,10577838.898499286,0.05145239412223967,2785128.781563835,7792710.11693545,80712229.95091833,334002.8209501097,0.0638092523745198,124375810.71093374,3206961.8328457526,37422.04679007065,144642281.85582054,582913768.6511315,9596765.751822015,8986.667965032879,61694932.52849302,7398681.75549186,6976966.832748283,149738027.5265507,208046424.4873826,568885.56136482,3206961.8328457526,124375810.71093374,9596765.751822015,7232114.092791027,16828879.84461304,16828879.84461304,16828879.84461304,0.035,0.055,18.18181818181818,144642281.85582054,68516375.14417845,80712229.95091833,7232114.092791027,8533336.971003909,8533336.974777086,0.058996144602249896,0.0180000012772966,-4.525886663094567e-94,8.611334996644254e-235,3.5484441925994865e-116,8.273566414979157e-76,0.06263424168314538,14394394.3957443,17552670.80723472,-785180.7518986005,0.02,4693036.114903209,3907855.3630045964,6706958.862614245,0.04463424040584877,2013922.747711036,20351774.306844354,0.13637984683926527,149228605.09509677
39,39469629.40137571,39108553.71181023,7821710.742362048,5775615.168157707,5570040.468246622,58574918.65639207,0.03027388446455798,0.6942310691078426,0.05674502523096623,0.005624075948121193,7785771.350664372,39103966.10448447,327907701.2490291,36318499.47869287,65287863.10901727,491182067.72584087,328921618.9469047,368127.6567158347,1.0012555842646,1.0,-1.6917281496672283e-88,-1.0632963404857059e-88,2948833.6431202455,452310.8982008,87.26216758973004,87.27348579054681,257354991.05030358,6.520329553492587,6.519483954177801,6.589222957793509,8.385535635255085,0.272613734421735,0.27288954806969046,257008440.74367034,0.13844898275893788,70134917.24445677,57978927.9103243,10063799.4397328,68353429.8930917,56283269.982959904,71108995.86191674,107983927.46079324,1370327.50288357,9118.619288153943,0.029925108922801577,5.023390903985455,0.5820281956362184,282442145.1428473,64521083.63643203,212865712.1888838,220658292.03069767,7792579.841813878,634803929.4005731,75702251.71200208,198716671.3399225,23697552.545663476,24981180.869302835,24973828.40265427,10954493.132432712,0.05146198990761351,2883270.1373408823,8071222.99509183,83595500.08825918,343838.51703089563,0.06384986371879328,128841389.62778313,3322081.622774966,38208.37704390827,149735213.11521545,603790230.587017,9935833.566996126,9118.619288153943,63903166.800089404,7620642.20815662,7240865.1653709365,154885805.60229984,215287289.65275374,589010.794561457,3322081.622774966,128841389.62778313,9935833.566996126,7486760.6557607725,17422594.222756896,17422594.222756896,17422594.222756896,0.035,0.055,18.18181818181818,149735213.11521545,71108995.86191674,83595500.08825918,7486760.6557607725,8621821.751759792,8621821.755838573,0.05758045537669788,0.0180000012772966,8.041334317917915e-112,-2.4585718620186653e-252,-1.3921626783941407e-133,-2.369950220101214e-93,0.06268823951066452,14922860.5095097,18180208.78791048,-801238.0160503506,0.02,4859678.18692661,4058440.170876349,6956096.62952561,0.04468823823336791,2096418.4425990002,21077865.24655983,0.13624597732062319,154704495.95017594
